Id,ActivityDate,SleepMinutes
1503960366,04-12-2016 00:00,327
1503960366,4/13/2016 12:00:00 AM,384
1503960366,4/15/2016 12:00:00 AM,412
1503960366,4/16/2016 12:00:00 AM,340
1503960366,4/17/2016 12:00:00 AM,700
1503960366,4/19/2016 12:00:00 AM,304
1503960366,4/20/2016 12:00:00 AM,360
1503960366,4/21/2016 12:00:00 AM,325
1503960366,4/23/2016 12:00:00 AM,361
1503960366,4/24/2016 12:00:00 AM,430
1503960366,4/25/2016 12:00:00 AM,277
1503960366,4/26/2016 12:00:00 AM,245
1503960366,4/28/2016 12:00:00 AM,366
1503960366,4/29/2016 12:00:00 AM,341
1503960366,4/30/2016 12:00:00 AM,404
1503960366,05-01-2016 00:00,369
1503960366,05-02-2016 00:00,277
1503960366,05-03-2016 00:00,273
1503960366,05-05-2016 00:00,247
1503960366,05-06-2016 00:00,334
1503960366,05-07-2016 00:00,331
1503960366,05-08-2016 00:00,594
1503960366,05-09-2016 00:00,338
1503960366,05-10-2016 00:00,383
1503960366,05-11-2016 00:00,285
1644430081,4/29/2016 12:00:00 AM,119
1644430081,4/30/2016 12:00:00 AM,124
1644430081,05-02-2016 00:00,796
1644430081,05-08-2016 00:00,137
1844505072,4/15/2016 12:00:00 AM,644
1844505072,4/30/2016 12:00:00 AM,722
1844505072,05-01-2016 00:00,590
1927972279,04-12-2016 00:00,750
1927972279,4/13/2016 12:00:00 AM,398
1927972279,4/15/2016 12:00:00 AM,475
1927972279,4/26/2016 12:00:00 AM,296
1927972279,4/28/2016 12:00:00 AM,166
2026352035,04-12-2016 00:00,503
2026352035,4/13/2016 12:00:00 AM,531
2026352035,4/14/2016 12:00:00 AM,545
2026352035,4/15/2016 12:00:00 AM,523
2026352035,4/16/2016 12:00:00 AM,524
2026352035,4/17/2016 12:00:00 AM,437
2026352035,4/19/2016 12:00:00 AM,498
2026352035,4/20/2016 12:00:00 AM,461
2026352035,4/21/2016 12:00:00 AM,477
2026352035,4/22/2016 12:00:00 AM,520
2026352035,4/23/2016 12:00:00 AM,522
2026352035,4/24/2016 12:00:00 AM,555
2026352035,4/25/2016 12:00:00 AM,506
2026352035,4/27/2016 12:00:00 AM,508
2026352035,4/28/2016 12:00:00 AM,513
2026352035,4/29/2016 12:00:00 AM,490
2026352035,4/30/2016 12:00:00 AM,573
2026352035,05-01-2016 00:00,527
2026352035,05-02-2016 00:00,511
2026352035,05-04-2016 00:00,538
2026352035,05-05-2016 00:00,468
2026352035,05-06-2016 00:00,524
2026352035,05-07-2016 00:00,511
2026352035,05-08-2016 00:00,541
2026352035,05-09-2016 00:00,531
2026352035,05-10-2016 00:00,357
2026352035,05-11-2016 00:00,523
2026352035,05-12-2016 00:00,456
2320127002,4/23/2016 12:00:00 AM,61
2347167796,4/13/2016 12:00:00 AM,467
2347167796,4/14/2016 12:00:00 AM,445
2347167796,4/15/2016 12:00:00 AM,452
2347167796,4/17/2016 12:00:00 AM,556
2347167796,4/18/2016 12:00:00 AM,500
2347167796,4/19/2016 12:00:00 AM,465
2347167796,4/21/2016 12:00:00 AM,460
2347167796,4/22/2016 12:00:00 AM,405
2347167796,4/23/2016 12:00:00 AM,374
2347167796,4/24/2016 12:00:00 AM,442
2347167796,4/25/2016 12:00:00 AM,433
2347167796,4/26/2016 12:00:00 AM,436
2347167796,4/27/2016 12:00:00 AM,448
2347167796,4/28/2016 12:00:00 AM,408
2347167796,4/29/2016 12:00:00 AM,411
3977333714,04-12-2016 00:00,274
3977333714,4/13/2016 12:00:00 AM,295
3977333714,4/14/2016 12:00:00 AM,291
3977333714,4/15/2016 12:00:00 AM,424
3977333714,4/16/2016 12:00:00 AM,283
3977333714,4/17/2016 12:00:00 AM,381
3977333714,4/18/2016 12:00:00 AM,412
3977333714,4/19/2016 12:00:00 AM,219
3977333714,4/20/2016 12:00:00 AM,152
3977333714,4/21/2016 12:00:00 AM,332
3977333714,4/22/2016 12:00:00 AM,355
3977333714,4/23/2016 12:00:00 AM,235
3977333714,4/24/2016 12:00:00 AM,310
3977333714,4/25/2016 12:00:00 AM,262
3977333714,4/26/2016 12:00:00 AM,250
3977333714,4/27/2016 12:00:00 AM,349
3977333714,4/28/2016 12:00:00 AM,261
3977333714,4/29/2016 12:00:00 AM,333
3977333714,4/30/2016 12:00:00 AM,237
3977333714,05-01-2016 00:00,383
3977333714,05-02-2016 00:00,230
3977333714,05-03-2016 00:00,292
3977333714,05-04-2016 00:00,213
3977333714,05-05-2016 00:00,318
3977333714,05-06-2016 00:00,323
3977333714,05-07-2016 00:00,237
3977333714,05-08-2016 00:00,259
3977333714,05-10-2016 00:00,312
4020332650,04-12-2016 00:00,501
4020332650,4/16/2016 12:00:00 AM,77
4020332650,05-03-2016 00:00,322
4020332650,05-04-2016 00:00,478
4020332650,05-05-2016 00:00,226
4020332650,05-06-2016 00:00,385
4020332650,05-08-2016 00:00,364
4020332650,05-10-2016 00:00,442
4319703577,4/14/2016 12:00:00 AM,535
4319703577,4/15/2016 12:00:00 AM,465
4319703577,4/16/2016 12:00:00 AM,506
4319703577,4/18/2016 12:00:00 AM,515
4319703577,4/19/2016 12:00:00 AM,461
4319703577,4/20/2016 12:00:00 AM,523
4319703577,4/21/2016 12:00:00 AM,59
4319703577,4/22/2016 12:00:00 AM,533
4319703577,4/23/2016 12:00:00 AM,692
4319703577,4/24/2016 12:00:00 AM,467
4319703577,4/25/2016 12:00:00 AM,488
4319703577,4/26/2016 12:00:00 AM,505
4319703577,4/27/2016 12:00:00 AM,286
4319703577,4/28/2016 12:00:00 AM,497
4319703577,4/29/2016 12:00:00 AM,523
4319703577,4/30/2016 12:00:00 AM,490
4319703577,05-01-2016 00:00,484
4319703577,05-02-2016 00:00,478
4319703577,05-03-2016 00:00,474
4319703577,05-06-2016 00:00,450
4319703577,05-07-2016 00:00,507
4319703577,05-08-2016 00:00,602
4319703577,05-09-2016 00:00,535
4319703577,05-10-2016 00:00,487
4319703577,05-11-2016 00:00,529
4319703577,05-12-2016 00:00,302
4388161847,4/15/2016 12:00:00 AM,499
4388161847,4/16/2016 12:00:00 AM,426
4388161847,4/17/2016 12:00:00 AM,619
4388161847,4/18/2016 12:00:00 AM,99
4388161847,4/19/2016 12:00:00 AM,329
4388161847,4/20/2016 12:00:00 AM,421
4388161847,4/21/2016 12:00:00 AM,442
4388161847,4/22/2016 12:00:00 AM,82
4388161847,4/23/2016 12:00:00 AM,478
4388161847,4/24/2016 12:00:00 AM,552
4388161847,4/26/2016 12:00:00 AM,319
4388161847,4/27/2016 12:00:00 AM,439
4388161847,4/28/2016 12:00:00 AM,428
4388161847,4/30/2016 12:00:00 AM,409
4388161847,05-01-2016 00:00,547
4388161847,05-02-2016 00:00,368
4388161847,05-04-2016 00:00,390
4388161847,05-05-2016 00:00,471
4388161847,05-05-2016 00:00,471
4388161847,05-07-2016 00:00,472
4388161847,05-08-2016 00:00,529
4388161847,05-09-2016 00:00,62
